out_msg=None: in_msg=[src=0, dest=10, size=2, addr=4736, type=GET_INSTR]: delay=0
out_msg=[src=14, dest=15, size=2, addr=1127296, type=GETS]: in_msg=[src=15, dest=14, size=5, addr=1127296, type=MEMORY_DATA]: delay=65
out_msg=[src=15, dest=14, size=5, addr=1127296, type=MEMORY_DATA]: in_msg=[src=14, dest=0, size=5, addr=1127296, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=14, dest=0, size=5, addr=1127296, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=14, size=2, addr=1127296, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=14, dest=0, size=5, addr=1127296, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=54, size=2, addr=1838464, type=GETS]: delay=10
out_msg=[src=0, dest=54, size=2, addr=1838464, type=GETS]: in_msg=[src=54, dest=55, size=2, addr=1838464, type=GETS]: delay=4
out_msg=[src=54, dest=55, size=2, addr=1838464, type=GETS]: in_msg=[src=55, dest=54, size=5, addr=1838464, type=MEMORY_DATA]: delay=65
out_msg=[src=55, dest=54, size=5, addr=1838464, type=MEMORY_DATA]: in_msg=[src=54, dest=0, size=5, addr=1838464, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=54, dest=0, size=5, addr=1838464, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=54, size=2, addr=1838464, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=54, dest=0, size=5, addr=1838464, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=52, size=2, addr=1846528, type=GETX]: delay=10
out_msg=[src=0, dest=52, size=2, addr=1846528, type=GETX]: in_msg=[src=52, dest=53, size=2, addr=1846528, type=GETS]: delay=4
out_msg=[src=52, dest=53, size=2, addr=1846528, type=GETS]: in_msg=[src=53, dest=52, size=5, addr=1846528, type=MEMORY_DATA]: delay=65
out_msg=[src=53, dest=52, size=5, addr=1846528, type=MEMORY_DATA]: in_msg=[src=52, dest=0, size=5, addr=1846528, type=DATA]: delay=3
out_msg=[src=52, dest=0, size=5, addr=1846528, type=DATA]: in_msg=[src=0, dest=52, size=2, addr=1846528, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=52, dest=0, size=5, addr=1846528, type=DATA]: in_msg=[src=0, dest=55, size=2, addr=1838528, type=GETS]: delay=30
out_msg=[src=0, dest=55, size=2, addr=1838528, type=GETS]: in_msg=[src=55, dest=54, size=2, addr=1838528, type=GETS]: delay=4
out_msg=[src=55, dest=54, size=2, addr=1838528, type=GETS]: in_msg=[src=54, dest=55, size=5, addr=1838528, type=MEMORY_DATA]: delay=65
out_msg=[src=54, dest=55, size=5, addr=1838528, type=MEMORY_DATA]: in_msg=[src=55, dest=0, size=5, addr=1838528, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=55, dest=0, size=5, addr=1838528, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=55, size=2, addr=1838528, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=55, dest=0, size=5, addr=1838528, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=50, size=2, addr=1203328, type=GETS]: delay=20
out_msg=[src=0, dest=50, size=2, addr=1203328, type=GETS]: in_msg=[src=50, dest=51, size=2, addr=1203328, type=GETS]: delay=4
out_msg=[src=50, dest=51, size=2, addr=1203328, type=GETS]: in_msg=[src=51, dest=50, size=5, addr=1203328, type=MEMORY_DATA]: delay=65
out_msg=[src=51, dest=50, size=5, addr=1203328, type=MEMORY_DATA]: in_msg=[src=50, dest=0, size=5, addr=1203328, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=50, dest=0, size=5, addr=1203328, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=50, size=2, addr=1203328, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=50, dest=0, size=5, addr=1203328, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=62, size=2, addr=364416, type=GET_INSTR]: delay=12
out_msg=[src=0, dest=62, size=2, addr=364416, type=GET_INSTR]: in_msg=[src=62, dest=0, size=5, addr=364416, type=DATA]: delay=72
out_msg=[src=62, dest=0, size=5, addr=364416, type=DATA]: in_msg=[src=0, dest=52, size=2, addr=941312, type=GETS]: delay=38
out_msg=[src=0, dest=52, size=2, addr=941312, type=GETS]: in_msg=[src=52, dest=0, size=5, addr=941312, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=52, dest=0, size=5, addr=941312, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=52, size=2, addr=941312, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=52, dest=0, size=5, addr=941312, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=63, size=2, addr=364480, type=GET_INSTR]: delay=20
out_msg=[src=0, dest=63, size=2, addr=364480, type=GET_INSTR]: in_msg=[src=63, dest=0, size=5, addr=364480, type=DATA]: delay=72
out_msg=[src=63, dest=0, size=5, addr=364480, type=DATA]: in_msg=[src=0, dest=50, size=2, addr=941184, type=GETS]: delay=18
out_msg=[src=0, dest=50, size=2, addr=941184, type=GETS]: in_msg=[src=50, dest=0, size=5, addr=941184, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=50, dest=0, size=5, addr=941184, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=50, size=2, addr=941184, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=50, dest=0, size=5, addr=941184, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=3, size=2, addr=364736, type=GET_INSTR]: delay=6
out_msg=[src=0, dest=3, size=2, addr=364736, type=GET_INSTR]: in_msg=[src=3, dest=0, size=5, addr=364736, type=DATA]: delay=72
