out_msg=[src=49, dest=56, size=2, addr=527424, type=GETS, fixed=des]: in_msg=[src=56, dest=49, size=5, addr=527424, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=49, size=5, addr=527424, type=MEMORY_DATA, fixed=src]: in_msg=[src=49, dest=0, size=5, addr=527424, type=DATA, fixed=None]: delay=3
out_msg=[src=49, dest=0, size=5, addr=527424, type=DATA, fixed=None]: in_msg=[src=0, dest=49, size=2, addr=527424, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=49, dest=0, size=5, addr=527424, type=DATA, fixed=None]: in_msg=[src=0, dest=62, size=2, addr=524160, type=GETS, fixed=None]: delay=48
out_msg=[src=0, dest=62, size=2, addr=524160, type=GETS, fixed=None]: in_msg=[src=62, dest=63, size=2, addr=524160, type=GETS, fixed=des]: delay=4
out_msg=[src=62, dest=63, size=2, addr=524160, type=GETS, fixed=des]: in_msg=[src=63, dest=62, size=5, addr=524160, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=62, size=5, addr=524160, type=MEMORY_DATA, fixed=src]: in_msg=[src=62, dest=0, size=5, addr=524160, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=62, dest=0, size=5, addr=524160, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=62, size=2, addr=524160, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=62, dest=0, size=5, addr=524160, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=51, size=2, addr=527552, type=GETX, fixed=None]: delay=36
out_msg=[src=0, dest=51, size=2, addr=527552, type=GETX, fixed=None]: in_msg=[src=51, dest=56, size=2, addr=527552, type=GETS, fixed=des]: delay=4
out_msg=[src=51, dest=56, size=2, addr=527552, type=GETS, fixed=des]: in_msg=[src=56, dest=51, size=5, addr=527552, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=51, size=5, addr=527552, type=MEMORY_DATA, fixed=src]: in_msg=[src=51, dest=0, size=5, addr=527552, type=DATA, fixed=None]: delay=3
