out_msg=[src=61, dest=63, size=2, addr=266048, type=GETS, fixed=des]: in_msg=[src=63, dest=61, size=5, addr=266048, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=61, size=5, addr=266048, type=MEMORY_DATA, fixed=src]: in_msg=[src=61, dest=0, size=5, addr=266048, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=61, dest=0, size=5, addr=266048, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=61, size=2, addr=266048, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=61, dest=0, size=5, addr=266048, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=49, size=2, addr=269376, type=GETX, fixed=None]: delay=76
out_msg=[src=0, dest=49, size=2, addr=269376, type=GETX, fixed=None]: in_msg=[src=49, dest=56, size=2, addr=269376, type=GETS, fixed=des]: delay=4
out_msg=[src=49, dest=56, size=2, addr=269376, type=GETS, fixed=des]: in_msg=[src=56, dest=49, size=5, addr=269376, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=49, size=5, addr=269376, type=MEMORY_DATA, fixed=src]: in_msg=[src=49, dest=0, size=5, addr=269376, type=DATA, fixed=None]: delay=3
out_msg=[src=49, dest=0, size=5, addr=269376, type=DATA, fixed=None]: in_msg=[src=0, dest=49, size=2, addr=269376, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=49, dest=0, size=5, addr=269376, type=DATA, fixed=None]: in_msg=[src=0, dest=62, size=2, addr=266112, type=GETS, fixed=None]: delay=48
out_msg=[src=0, dest=62, size=2, addr=266112, type=GETS, fixed=None]: in_msg=[src=62, dest=63, size=2, addr=266112, type=GETS, fixed=des]: delay=4
out_msg=[src=62, dest=63, size=2, addr=266112, type=GETS, fixed=des]: in_msg=[src=63, dest=62, size=5, addr=266112, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=62, size=5, addr=266112, type=MEMORY_DATA, fixed=src]: in_msg=[src=62, dest=0, size=5, addr=266112, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=62, dest=0, size=5, addr=266112, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=62, size=2, addr=266112, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=62, dest=0, size=5, addr=266112, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=51, size=2, addr=269504, type=GETX, fixed=None]: delay=36
out_msg=[src=0, dest=51, size=2, addr=269504, type=GETX, fixed=None]: in_msg=[src=51, dest=56, size=2, addr=269504, type=GETS, fixed=des]: delay=4
out_msg=[src=51, dest=56, size=2, addr=269504, type=GETS, fixed=des]: in_msg=[src=56, dest=51, size=5, addr=269504, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=51, size=5, addr=269504, type=MEMORY_DATA, fixed=src]: in_msg=[src=51, dest=0, size=5, addr=269504, type=DATA, fixed=None]: delay=3
