out_msg=[src=0, dest=3, size=Control, addr=106176, type=GET_INSTR]: in_msg=[src=3, dest=0, size=Response_Data, addr=106176, type=DATA]: delay=72
out_msg=[src=3, dest=0, size=Response_Data, addr=106176, type=DATA]: in_msg=[src=0, dest=1, size=Control, addr=90432, type=GET_INSTR]: delay=44
out_msg=[src=0, dest=1, size=Control, addr=90432, type=GET_INSTR]: in_msg=[src=1, dest=0, size=Response_Data, addr=90432, type=DATA]: delay=72
out_msg=[src=1, dest=0, size=Response_Data, addr=90432, type=DATA]: in_msg=[src=0, dest=2, size=Control, addr=90496, type=GET_INSTR]: delay=18
out_msg=[src=0, dest=2, size=Control, addr=90496, type=GET_INSTR]: in_msg=[src=2, dest=0, size=Response_Data, addr=90496, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=Response_Data, addr=90496, type=DATA]: in_msg=[src=0, dest=2, size=Control, addr=89216, type=GET_INSTR]: delay=58
out_msg=[src=0, dest=2, size=Control, addr=89216, type=GET_INSTR]: in_msg=[src=2, dest=0, size=Response_Data, addr=89216, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=Response_Data, addr=89216, type=DATA]: in_msg=[src=0, dest=0, size=Response_Control, addr=609024, type=EXCLUSIVE_UNBLOCK]: delay=201
out_msg=[src=2, dest=0, size=Response_Data, addr=89216, type=DATA]: in_msg=[src=0, dest=1, size=Control, addr=107328, type=GET_INSTR]: delay=216
out_msg=[src=0, dest=1, size=Control, addr=107328, type=GET_INSTR]: in_msg=[src=1, dest=0, size=Response_Data, addr=107328, type=DATA]: delay=72
out_msg=[src=1, dest=0, size=Response_Data, addr=107328, type=DATA]: in_msg=[src=0, dest=1, size=Control, addr=388416, type=GETS]: delay=112
out_msg=[src=0, dest=1, size=Control, addr=388416, type=GETS]: in_msg=[src=1, dest=0, size=Response_Data, addr=388416, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=1, dest=0, size=Response_Data, addr=388416, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=1, size=Response_Control, addr=388416, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=1, dest=0, size=Response_Data, addr=388416, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=1, size=Control, addr=73024, type=GET_INSTR]: delay=16
out_msg=[src=0, dest=1, size=Control, addr=73024, type=GET_INSTR]: in_msg=[src=1, dest=0, size=Response_Data, addr=73024, type=DATA]: delay=72
out_msg=[src=1, dest=0, size=Response_Data, addr=73024, type=DATA]: in_msg=[src=0, dest=1, size=Control, addr=73792, type=GET_INSTR]: delay=138
out_msg=[src=0, dest=1, size=Control, addr=73792, type=GET_INSTR]: in_msg=[src=1, dest=0, size=Response_Data, addr=73792, type=DATA]: delay=72
out_msg=[src=1, dest=0, size=Response_Data, addr=73792, type=DATA]: in_msg=[src=0, dest=2, size=Control, addr=73856, type=GET_INSTR]: delay=8
out_msg=[src=0, dest=2, size=Control, addr=73856, type=GET_INSTR]: in_msg=[src=2, dest=0, size=Response_Data, addr=73856, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=Response_Data, addr=73856, type=DATA]: in_msg=[src=0, dest=2, size=Control, addr=107392, type=GET_INSTR]: delay=34
out_msg=[src=0, dest=2, size=Control, addr=107392, type=GET_INSTR]: in_msg=[src=2, dest=0, size=Response_Data, addr=107392, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=Response_Data, addr=107392, type=DATA]: in_msg=[src=0, dest=3, size=Control, addr=107456, type=GET_INSTR]: delay=22
out_msg=[src=0, dest=3, size=Control, addr=107456, type=GET_INSTR]: in_msg=[src=3, dest=0, size=Response_Data, addr=107456, type=DATA]: delay=72
out_msg=[src=3, dest=0, size=Response_Data, addr=107456, type=DATA]: in_msg=[src=0, dest=3, size=Control, addr=89280, type=GET_INSTR]: delay=60
out_msg=[src=0, dest=3, size=Control, addr=89280, type=GET_INSTR]: in_msg=[src=3, dest=0, size=Response_Data, addr=89280, type=DATA]: delay=72
out_msg=[src=3, dest=0, size=Response_Data, addr=89280, type=DATA]: in_msg=[src=0, dest=0, size=Response_Control, addr=464640, type=EXCLUSIVE_UNBLOCK]: delay=81
out_msg=[src=3, dest=0, size=Response_Data, addr=89280, type=DATA]: in_msg=[src=0, dest=2, size=Control, addr=73088, type=GET_INSTR]: delay=312
out_msg=[src=0, dest=2, size=Control, addr=73088, type=GET_INSTR]: in_msg=[src=2, dest=0, size=Response_Data, addr=73088, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=Response_Data, addr=73088, type=DATA]: in_msg=[src=0, dest=3, size=Control, addr=208064, type=GET_INSTR]: delay=130
out_msg=[src=0, dest=3, size=Control, addr=208064, type=GET_INSTR]: in_msg=[src=3, dest=0, size=Response_Data, addr=208064, type=DATA]: delay=72
