out_msg=[src=6, dest=0, size=5, addr=168320, type=DATA]: in_msg=[src=0, dest=7, size=2, addr=168384, type=GET_INSTR]: delay=76
out_msg=[src=0, dest=7, size=2, addr=168384, type=GET_INSTR]: in_msg=[src=7, dest=0, size=5, addr=168384, type=DATA]: delay=72
out_msg=[src=7, dest=0, size=5, addr=168384, type=DATA]: in_msg=[src=0, dest=48, size=2, addr=269312, type=GETS]: delay=48
out_msg=[src=0, dest=48, size=2, addr=269312, type=GETS]: in_msg=[src=48, dest=0, size=5, addr=269312, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=48, dest=0, size=5, addr=269312, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=48, size=2, addr=269312, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=48, dest=0, size=5, addr=269312, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=8, size=2, addr=168448, type=GET_INSTR]: delay=12
out_msg=[src=0, dest=8, size=2, addr=168448, type=GET_INSTR]: in_msg=[src=8, dest=0, size=5, addr=168448, type=DATA]: delay=72
out_msg=[src=8, dest=0, size=5, addr=168448, type=DATA]: in_msg=[src=0, dest=9, size=2, addr=168512, type=GET_INSTR]: delay=36
out_msg=[src=0, dest=9, size=2, addr=168512, type=GET_INSTR]: in_msg=[src=9, dest=0, size=5, addr=168512, type=DATA]: delay=72
out_msg=[src=9, dest=0, size=5, addr=168512, type=DATA]: in_msg=[src=0, dest=10, size=2, addr=168576, type=GET_INSTR]: delay=70
out_msg=[src=0, dest=10, size=2, addr=168576, type=GET_INSTR]: in_msg=[src=10, dest=0, size=5, addr=168576, type=DATA]: delay=72
out_msg=[src=10, dest=0, size=5, addr=168576, type=DATA]: in_msg=[src=0, dest=11, size=2, addr=168640, type=GET_INSTR]: delay=64
out_msg=[src=0, dest=11, size=2, addr=168640, type=GET_INSTR]: in_msg=[src=11, dest=0, size=5, addr=168640, type=DATA]: delay=72
out_msg=[src=11, dest=0, size=5, addr=168640, type=DATA]: in_msg=[src=0, dest=53, size=2, addr=277824, type=GETX]: delay=54
out_msg=[src=0, dest=53, size=2, addr=277824, type=GETX]: in_msg=[src=53, dest=0, size=5, addr=277824, type=DATA]: delay=72
out_msg=[src=53, dest=0, size=5, addr=277824, type=DATA]: in_msg=[src=0, dest=53, size=2, addr=277824, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=53, dest=0, size=5, addr=277824, type=DATA]: in_msg=[src=0, dest=12, size=2, addr=168704, type=GET_INSTR]: delay=8
